start	professor	discipline	auditorium	group
2021-01-25T09:00:00	15	10	20	15
2021-01-25T09:00:00	17	6	11	16
2021-01-25T09:00:00	48	11	9	12
2021-01-25T09:00:00	7	6	14	19
2021-01-25T09:00:00	54	12	4	18
2021-01-25T09:00:00	21	2	2	9
2021-01-25T09:00:00	60	8	13	23
2021-01-25T09:00:00	3	2	10	5
2021-01-25T09:00:00	4	4	8	1
2021-01-25T09:00:00	30	10	12	25
2021-01-25T09:00:00	24	8	7	11
2021-01-25T09:00:00	42	7	1	3
2021-01-25T09:00:00	45	8	15	4
2021-01-25T09:00:00	16	9	5	20
2021-01-25T09:00:00	26	9	18	13
2021-01-25T09:00:00	59	4	19	6
2021-01-25T09:00:00	9	11	3	10
2021-01-25T09:00:00	33	7	6	17
2021-01-25T09:00:00	31	7	17	7
2021-01-25T09:00:00	27	8	16	22
2021-01-25T11:00:00	33	11	14	11
2021-01-25T11:00:00	54	12	16	4
2021-01-25T11:00:00	15	10	2	20
2021-01-25T11:00:00	9	11	7	13
2021-01-25T11:00:00	53	8	13	5
2021-01-25T11:00:00	4	4	10	22
2021-01-25T11:00:00	19	5	8	14
2021-01-25T11:00:00	32	8	12	23
2021-01-25T11:00:00	41	9	15	18
2021-01-25T11:00:00	56	7	6	3
2021-01-25T11:00:00	48	11	5	24
2021-01-25T11:00:00	35	1	4	2
2021-01-25T11:00:00	52	12	20	21
2021-01-25T11:00:00	36	6	1	6
2021-01-25T11:00:00	22	5	17	16
2021-01-25T11:00:00	37	4	3	25
2021-01-25T11:00:00	42	7	19	12
2021-01-25T11:00:00	1	9	11	1
2021-01-25T11:00:00	25	2	18	15
2021-01-25T11:00:00	8	11	9	19
2021-01-25T13:00:00	58	11	1	5
2021-01-25T13:00:00	42	7	18	7
2021-01-25T13:00:00	45	8	5	21
2021-01-25T13:00:00	17	6	6	25
2021-01-25T13:00:00	31	7	8	11
2021-01-25T13:00:00	21	2	19	19
2021-01-25T13:00:00	41	9	14	15
2021-01-25T13:00:00	15	8	10	20
2021-01-25T13:00:00	29	11	15	6
2021-01-25T13:00:00	8	11	12	8
2021-01-25T13:00:00	24	8	9	22
2021-01-25T13:00:00	52	11	11	1
2021-01-25T13:00:00	23	1	16	10
2021-01-25T13:00:00	4	4	17	12
2021-01-25T13:00:00	59	2	13	2
2021-01-25T13:00:00	11	10	20	3
2021-01-25T13:00:00	18	1	2	18
2021-01-25T13:00:00	44	5	7	16
2021-01-25T13:00:00	48	11	3	13
2021-01-25T13:00:00	25	3	4	17
2021-01-25T15:00:00	22	5	16	19
2021-01-25T15:00:00	1	9	1	9
2021-01-25T15:00:00	49	1	7	17
2021-01-25T15:00:00	3	2	2	24
2021-01-25T15:00:00	53	8	17	8
2021-01-25T15:00:00	39	6	13	22
2021-01-25T15:00:00	9	11	10	25
2021-01-25T15:00:00	31	12	3	16
2021-01-25T15:00:00	55	2	5	6
2021-01-25T15:00:00	28	6	9	13
2021-01-25T15:00:00	14	12	15	20
2021-01-25T15:00:00	51	4	19	18
2021-01-25T15:00:00	2	12	8	23
2021-01-25T15:00:00	27	8	4	2
2021-01-25T15:00:00	12	6	11	7
2021-01-25T15:00:00	59	2	18	3
2021-01-25T15:00:00	10	6	20	12
2021-01-25T15:00:00	56	3	14	1
2021-01-25T15:00:00	43	8	12	11
2021-01-25T15:00:00	44	5	6	5
2021-01-26T09:00:00	7	9	7	23
2021-01-26T09:00:00	15	10	11	22
2021-01-26T09:00:00	46	7	13	5
2021-01-26T09:00:00	21	11	3	18
2021-01-26T09:00:00	5	5	4	25
2021-01-26T09:00:00	18	1	16	12
2021-01-26T09:00:00	26	10	9	10
2021-01-26T09:00:00	23	1	14	3
2021-01-26T09:00:00	53	8	5	14
2021-01-26T09:00:00	57	10	1	7
2021-01-26T09:00:00	39	8	8	4
2021-01-26T09:00:00	9	11	17	16
2021-01-26T09:00:00	43	11	10	19
2021-01-26T09:00:00	41	9	12	13
2021-01-26T09:00:00	59	2	20	1
2021-01-26T09:00:00	42	7	6	15
2021-01-26T09:00:00	30	5	2	11
2021-01-26T09:00:00	48	11	18	24
2021-01-26T09:00:00	4	4	19	6
2021-01-26T09:00:00	34	2	15	21
2021-01-26T11:00:00	36	6	15	12
2021-01-26T11:00:00	47	6	9	9
2021-01-26T11:00:00	37	1	10	1
2021-01-26T11:00:00	56	7	11	7
2021-01-26T11:00:00	22	5	16	4
2021-01-26T11:00:00	51	4	7	24
2021-01-26T11:00:00	7	9	4	18
2021-01-26T11:00:00	48	11	18	22
2021-01-26T11:00:00	44	12	14	19
2021-01-26T11:00:00	18	1	20	13
2021-01-26T11:00:00	40	10	5	23
2021-01-26T11:00:00	45	7	17	11
2021-01-26T11:00:00	14	12	2	15
2021-01-26T11:00:00	16	3	8	25
2021-01-26T11:00:00	49	6	19	8
2021-01-26T11:00:00	28	6	1	3
2021-01-26T11:00:00	5	5	3	16
2021-01-26T11:00:00	4	4	12	5
2021-01-26T11:00:00	46	10	6	17
2021-01-26T11:00:00	12	7	13	14
2021-01-26T13:00:00	29	10	14	14
2021-01-26T13:00:00	5	5	4	9
2021-01-26T13:00:00	24	11	5	2
2021-01-26T13:00:00	42	7	18	18
2021-01-26T13:00:00	53	8	3	10
2021-01-26T13:00:00	50	12	10	23
2021-01-26T13:00:00	28	6	19	20
2021-01-26T13:00:00	30	10	12	24
2021-01-26T13:00:00	47	9	7	17
2021-01-26T13:00:00	7	9	13	22
2021-01-26T13:00:00	15	8	6	19
2021-01-26T13:00:00	34	2	9	4
2021-01-26T13:00:00	8	11	8	8
2021-01-26T13:00:00	46	7	17	13
2021-01-26T13:00:00	43	8	16	21
2021-01-26T13:00:00	49	6	2	5
2021-01-26T13:00:00	55	5	20	16
2021-01-26T13:00:00	6	2	11	15
2021-01-26T13:00:00	25	8	15	6
2021-01-26T13:00:00	27	8	1	25
2021-01-26T15:00:00	18	1	10	8
2021-01-26T15:00:00	24	5	19	15
2021-01-26T15:00:00	48	11	4	13
2021-01-26T15:00:00	17	6	9	19
2021-01-26T15:00:00	21	2	14	14
2021-01-26T15:00:00	39	8	8	11
2021-01-26T15:00:00	36	11	5	2
2021-01-26T15:00:00	34	8	18	22
